,content
sadness,i want my daddy
sadness,Awh i was having a great time outdoors today then i got rained out  what i shut down. Oh well tomorrow is another day.... hopefully!
love,@davewarwak I`d love to have a copty of &quot;Peep Show...&quot; I have Eilleen`s but I do have to give it back  Please help me out I miss you on FB
hate,@chicksnchickens and @momtv the Creative VADO's are out of stock at walmart.com (missed it)  but thanks for tweeting about it
hate,"@karenneves few hotels in UK have free wifi, they are mega expensive here and usually only hard wired.  Loved using hotel wifi in States!"
love,watching the rain and reminiscing about the time when everytime it rained I was with the love of my life.
sadness,Greenville for the weekend for my best friends birthday and leaving way later than i wanted...
love,@aly_jo3 I want a hug
love,Gf will be home in a couple of minutes (yay!)  so I'm off  See you tomorrow morning tweeple! After that it's gonna be monday
hate,@toddmeg14 one day my hugs will come    *fingers still crossed*
love,"Just potted some geraniums then talked to the grandkids, well Maddie - Jack was outside playing.  I sure miss 'em!!!"
love,"@BillFanning Bill, likewise it was a pleasure- next time we should spend more time talking  #ims09"
sadness,@liber8dsoul i knoww  she is da best!
love,got some new ducati puma high tops yea they are sweet. and yes i dont have a ducati
love,"@BossTycoonLZ yea but that's an old pic,  she looks a lot different now...she turned into such a beautiful women   I miss her A LOT!"
sadness,"My Boy is leaving for the Summer, Going to stay with the Grandparents.. I'm gonna miss him!!"
hate,Sitting here with my baby .. Libby has a fever 101.0  shes fussy
sadness,"@Kstricklen If I could, I'd send California sunshine your way."
sadness,@smiley92 thanks  we did reviews today and i feel like idk anything. anyways. how r u?
hate,Just had a lovely walk with my dog ( all on my own! )...In the dark  But it was a nice walk though HEHE x.
hate,My besties. If only @ddlovato was there.  on Twitpic http://bit.ly/bRg6W (via @MileyCyrus)
sadness,@keithahundred yeah I kno...I'm tryna change it bac but its not lettin meeee
hate,@DavidArchie hey when are you next in the UK?
love,@ddlovato http://twitpic.com/5h3ad - And Brazil??? WE LOVE YOU TOO!!
love,"@jennyowenyoungs i can't believe you're coming near me! but to a place that i can't get into.  i love you, Jenny!"
love,@ghxststories boys r nothing but trouble...i love trouble
love,@QuEeN_AnGeL84 Awww i hope you feel better love...this weather is crazy...
sadness,@LilMissOpinion I just noticed that  They are so ridiculous
love,"@mileycyrus http://twitpic.com/67hac - I dont like justin  but he means somthing to miley,so i respect that !!! Love you miley!!"
hate,my poor baby girl is poorly  x
sadness,After hearing susan boyle sing she came off as the most beautiful person i'd ever seen. i feel bad for my first impression though
love,@johnreppion awww  I'll let you off - but you'd better be there for my next 30th! XD
love,@DaniDROPDEAD13 oi  i love you
love,LOVE @myfabolouslife LOVE him.  http://bit.ly/chLaV   @ that tease of Your Baby @ the end... boooooo. still luv tho.
love,I love my puppy
love,I have two hours to wait for my tire to get repaired.
love,@mitchelmusso I want to talk with but the calls are so expensive  I LOVE YOU
love,"@JessieeeS I agree! mmm so good, i miss eating it with you tho"
sadness,"Watching the Fashion Show (BravoTV). I didn't know this show existed! Ha-ha. Craving steak, pancakes and mashed potatoes. Ugghh."
love,@mitchelmusso  i would so call you if i knew what to say &amp; if it wasn't long distance    but i do love you!
hate,I seriously want a pug  Buy me one?
sadness,@KhloeKardashian too bad we can catch it here in brazil  but good luck with your show! you're amazing!
sadness,@janetfraser so true   sad to say.  I'm glad you'll be with me to be my support group ;)
love,@sonyasunshine  i love you!
love,@allenrob23 ..people you love.... wait i am not there
love,@RaeBoz I do! But I have to go to a dang wedding in madison
love,@annamessias i miss yoooooooou my poia
sadness,@jordanknight PS- Missed your tweets today!!!  Guess I'm addicted too.
sadness,@momof3crazykids that's awesome. Can't believe they have the poster up Already! I haven't seen one over here yet
hate,@Rorzshach  *hugs*
hate,Cars been dropped off for service and mot  getting the train home! Hate public transport!!
hate,hmz... second most popular page on this governmental site is the 404 page... fail
sadness,@upcomingpixar Too bad we're in Sweden where Up isn't up on the theaters  here until October
hate,"@jojototh @abduzeedo firefox ok, but opera and IE - footer is not ok"
sadness,Okay I'm seriously bored. I have nothing to do. I can't go out cause it's raining.
hate,Up earlier because of a stupid orthadontist appointment
hate,it should be.. not a wink &gt;.&lt;
hate,; keeps getting such delayed responses. why is my internet so messed up?!
hate,is not paying 8 per hr for Internet access so may be limited to Twitter via txt
hate,Was woken up by my screamin lil nefuew
hate,awhile ago it freaking hot! now it's wet  turn off!
sadness,"@ShiGGaShay - I only get bubble tea during the cambodian new year - only once a year  &amp; when i do, i stand in line for over 10-15 min."
hate,Geography papers are so boring!  I hate revision!
hate,"urgh, my head is banging."
hate,Anyone got any remedies for neck pain? Haven't been able to turn my head properly without a bad twinge for a few days now
sadness,My record player has decided to die. Why on Friday night? Sad E  http://twitpic.com/667a4
sadness,Hates headaches! Maybe I'm not ready to rock
love,"trying to get used to twitter, i have a cold"
hate,preparing for my spanish.. BAAAAAAAAAAH
hate,@cynimarie p.s. There is such thing as having too much sushi! Bleeeeah!
love,What a gorgeous day!! And I'm going to be stuck in a lab for the next 9 hours or so
sadness,i'm sick of waking up and feeling exhausted
sadness,in the mailbox already for 2 hours
love,@JeremyTheXIV i take it you're not a fan
sadness,i can't studyyyyyyyyyyyyyyyyyyyyyyyyy  i have an exam tom
sadness,Hey now that I'm on a roll everybody in twitter-ville is sleeping  grrr I never WIN :/ http://myloc.me/1Y2J
hate,sick of having constant bad dreams  grr
love,@Jenniferlai7 What can you say about Jayk??I'm pretty pissed at pretty much everything right now
hate,trying to draw some manga/anime for our new website ... very bad idea!   http://bit.ly/k6iOv
hate,don't want to go!!!
sadness,IS ANYONE AWAKE?!?!?!?! oh my god i am dying here. i want to go to SLEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEP. :[
sadness,I am NOT in the mood for a long car drive
hate,http://bit.ly/147HEU  - don't judge me. tucking myself in tonight  mogwai on repeat
hate,Getting very frustrated by people who don't know what they want... can't wait to go home tonight...
sadness,@tweetie Why do I have to enter my registration details every time I update?
love,@GarethCliff Oh stop boasting already.  I've got a horrible piece o' crap cellphone.  *pulls a tongue*
hate,hates having to be at work for six am
hate,Fed up today        No-one's available for comment
sadness,@Tolman21 I was asleep until my brother woke me up asking me if I ate the rest of the frosted mini wheats. I can't go back to sleep.
love,I can't think of a way to express in 140 chars how disspointed I am with the advertising on Lifehacker's Why I Didn't Buy A Mac article.
hate,"want to read twilight all day, not work at the stupid cher function"
sadness,not sure why I can't get tweetdeck to work on my computer. want to know what all of the hype is about
hate,suffering benadryl hangover this morning and a killer headache.... ugh!
hate,@gprado Awww I HATE that one!!
sadness,school is so pointlesss. seriously though. 7 days of school left and all we do is watch movies and make powerpoints. let me leaveeee
sadness,&quot;I'm giving up on you. I don't care how you mess up your life now.&quot;... :'(
love,I never get invited to go anywhere
sadness,"Sighs, well I accidentally clicked back space on my mouse"
hate,I hate packing
sadness,Seems like everyone I know is asking for computer help...   kill me now
hate,@chuybe. you left me first .. and left your bed here for me to look at
sadness,Sadly I am bprohibiting myself from tweeting tonight. Sorry
hate,"@kesoleil Oh man, Did Yogg today. Worse than last week."
hate,@anant25121986 it is so unfair that all the good rock shows happen only in B'lore and Pune
